ward,adm_prob,exp_relocations,full_prob
A,0.755634114007954,1049,0.20218579234972678
B,0.5395068918656571,1525,0.35792349726775957
C,0.27754891864057674,2143,0.7759562841530054
D,0.8997281787979462,232,0.09562841530054644
E,0.5918432883750803,811,0.4180327868852459
F,0.9673409186683523,115,0.03278688524590164
