ward,adm_prob,exp_relocations,full_prob
A,0.7533983451536643,1042,0.20765027322404372
B,0.5079185520361991,1675,0.4426229508196721
C,0.2669578622816033,2152,0.7622950819672131
D,0.8451475509583206,354,0.1284153005464481
E,0.5768512756689483,857,0.453551912568306
F,0.9324732916750655,225,0.04371584699453552
