ward,adm_prob,exp_relocations,full_prob
A,0.7273909274776076,1166,0.22950819672131148
B,0.5209082308420057,1638,0.3633879781420765
C,0.27311882442361285,2177,0.7786885245901639
D,0.8791653690439115,272,0.1092896174863388
E,0.575507614213198,855,0.48360655737704916
F,0.9545080279950597,160,0.02185792349726776
