ward,adm_prob,exp_relocations,full_prob
A,0.9129395698190509,341,0.05191256830601093
B,0.7397081245915923,926,0.23770491803278687
C,0.6637168141592921,980,0.34153005464480873
D,0.9801587301587301,40,0.02459016393442623
E,0.7098892080426754,525,0.24043715846994534
