ward,adm_prob,exp_relocations,full_prob
A,0.7292232870833929,1183,0.2459016393442623
B,0.5509153318077803,1526,0.3907103825136612
C,0.28924759177297577,2054,0.773224043715847
D,0.870826833073323,293,0.10109289617486339
E,0.5743494423791822,880,0.48633879781420764
F,0.9516635279347144,170,0.03551912568306011
