ward,adm_prob,exp_relocations,full_prob
A,0.9362022772940388,243,0.030054644808743168
B,0.7390061565523307,912,0.21584699453551912
C,0.6401308615049073,1096,0.35792349726775957
D,0.9686462559940981,66,0.03278688524590164
E,0.7019673503557974,537,0.273224043715847
