ward,adm_prob,exp_relocations,full_prob
A,0.9327787021630616,267,0.07103825136612021
B,0.7680272108843538,768,0.22950819672131148
C,0.6553398058252428,995,0.35792349726775957
D,0.9622030237580994,82,0.0273224043715847
E,0.6875,567,0.3005464480874317
